Record Number,Type,Address,Date Opened,Status
PPA25-0235,Planning Pre-Application,"2441 S EUCLID AV, Ontario CA 91761",7/15/2025,Resubmittal Required
PPA25-0234,Planning Pre-Application,"114 S CAMPUS AV, BLDG 1, ONTARIO CA 91761",7/14/2025,Withdrawn
PPA25-0233,Planning Pre-Application,"3130 E SEDONA CT, ONTARIO CA 91764",7/14/2025,Complete
PPA25-0232,Planning Pre-Application,"1372 E FIFTH ST, BLDG 1, ONTARIO CA 91764",7/14/2025,Resubmittal Required
PPA25-0231,Planning Pre-Application,"333 N EUCLID AV, BLDG 1, ONTARIO CA 91762",7/13/2025,Complete
PVER25-027,Zoning Verification Letter,"720 S MILLIKEN AV, SUITE 1-A, ONTARIO CA 91761",7/11/2025,Approved
PPA25-0230,Planning Pre-Application,"720 S MILLIKEN AV, SUITE 1-A, ONTARIO CA 91761",7/11/2025,Complete
PHP-25-015,Historical Preservation,"214 E ROSEWOOD CT, ONTARIO CA 91764",7/10/2025,Under Review
25TMP-005970,Planning Pre-Application,,7/9/2025,
25TMP-004699,Planning Pre-Application,"8847 E SCHAEFER AV, ONTARIO CA 91761",7/9/2025,
PSPA25-005,Specific Plan Amendment,"2350 E INLAND EMPIRE BL, ONTARIO CA 91764",7/9/2025,Active
PSGN25-083,Sign Permit,"2780 E RIVERSIDE DR, SUITE D, ONTARIO CA 91761",7/9/2025,Approved Final
PSTRP25-009,Short Term Rental License,"245 W VIA PRESIDO, 7-95, Ontario CA 91762",7/9/2025,Withdrawn
PPA25-0229,Planning Pre-Application,"0 E SCHAEFER AV, Ontario CA 91761",7/9/2025,Resubmittal Required
PPA25-0228,Planning Pre-Application,"3237 E GUASTI RD, SUITE 1-300, ONTARIO CA 91761",7/9/2025,Complete
PSGN25-082,Sign Permit,"4210 E ONTARIO RANCH RD, ONTARIO CA 91761",7/8/2025,Under Review
PPA25-0227,Planning Pre-Application,"1415 W STATE ST, ONTARIO CA 91762",7/8/2025,Withdrawn
PSGN25-081,Sign Permit,"201 W FRANCIS ST, BLDG 1, ONTARIO CA 91762",7/7/2025,Approved Final
PPA25-0226,Planning Pre-Application,"840 E ONTARIO BL, ONTARIO CA 91761",7/7/2025,Resubmittal Required
PPA25-0225,Planning Pre-Application,"1900 E INLAND EMPIRE BL, SUITE A, ONTARIO CA 91764",7/5/2025,ACA Docs Uploaded
25TMP-005653,Short Term Rental License,"1024 E 6th ST, BLDG a, Ontario CA 91764 United States",7/1/2025,
PVER25-026,Zoning Verification Letter,"3990 E INLAND EMPIRE BL, ONTARIO CA 91764",7/1/2025,Approved
PTUP25-038,Temporary Use Permit,"0 E EDISON AV, ONTARIO CA 91710",7/1/2025,Under Review
PSGN25-080,Sign Permit,"4170 E ONTARIO RANCH RD, ONTARIO CA 91761",7/1/2025,Approved Final
PPA25-0224,Planning Pre-Application,"215 W G ST, ONTARIO CA 91762",7/1/2025,Withdrawn
PSTRP25-008,Short Term Rental License,"1024 E SIXTH ST, Ontario CA 91764",7/1/2025,Additional Info Req'd
PPA25-0223,Planning Pre-Application,"1557 N PLEASANT AV, ONTARIO CA 91764",7/1/2025,Withdrawn
24TMP-003016,Planning Pre-Application,"855 S BENSON AV, ONTARIO CA 91762",6/30/2025,
PPA25-0222,Planning Pre-Application,"1624 W PHILADELPHIA ST, ONTARIO CA 91762",6/30/2025,Resubmittal Required
PPA25-0221,Planning Pre-Application,"214 E ROSEWOOD CT, ONTARIO CA 91764",6/30/2025,Complete
PPA25-0220,Planning Pre-Application,"0 E EDISON AV, ONTARIO CA 91710",6/30/2025,Complete
PPA25-0219,Planning Pre-Application,"4246 E ONTARIO RANCH RD, ONTARIO CA 91761",6/30/2025,Complete
PPA25-0218,Planning Pre-Application,"3990 E INLAND EMPIRE BL, ONTARIO CA 91764",6/28/2025,Complete
PPA25-0217,Planning Pre-Application,"1253 W E ST, ONTARIO CA 91762",6/27/2025,Withdrawn
PSGN25-079,Sign Permit,"4430 E ONTARIO MILLS PW, BLDG 3, ONTARIO CA 91764",6/26/2025,Approved Final
PPA25-0216,Planning Pre-Application,"4430 E ONTARIO MILLS PW, BLDG 3, ONTARIO CA 91764",6/26/2025,Complete
PSGN25-078,Sign Permit,"109 W HOLT BL, BLDG 1, ONTARIO CA 91762",6/25/2025,Approved Final
PPA25-0215,Planning Pre-Application,"1261 S GROVE AV, ONTARIO CA 91761",6/25/2025,Withdrawn
PPA25-0214,Planning Pre-Application,"1261 S GROVE AV, Ontario CA 91761",6/25/2025,Withdrawn
PTUP25-037,Temporary Use Permit,"1 E MILLS CI, SUITE 1-100, ONTARIO CA 91764",6/24/2025,Active
PSGN25-077,Sign Permit,"3100 S HAMNER AV, ONTARIO CA 91761",6/24/2025,Approved Final
PSGN25-076,Sign Permit,"960 N HAVEN AV, SUITE 100, Ontario CA 91764",6/24/2025,Approved Final
PSGN25-075,Sign Permit,"3110 E GUASTI RD, BLDG 1, ONTARIO CA 91761",6/24/2025,Approved Final
PPA25-0213,Planning Pre-Application,"3100 S HAMNER AV, ONTARIO CA 91761",6/24/2025,Complete
PPA25-0212,Planning Pre-Application,"960 N HAVEN AV, SUITE 100, Ontario CA 91764",6/24/2025,Complete
PPA25-0211,Planning Pre-Application,"3110 E GUASTI RD, BLDG 1, ONTARIO CA 91761",6/24/2025,Complete
PPA25-0210,Planning Pre-Application,"1 E MILLS CI, SUITE 1-100, ONTARIO CA 91764",6/24/2025,Complete
25TMP-005342,Planning Pre-Application,"5171 E FRANCIS ST, ONTARIO CA 91761",6/23/2025,
PVER25-025,Zoning Verification Letter,"2938 S MILLIKEN AV, ONTARIO CA 91761",6/23/2025,Approved
PTUP25-036,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",6/23/2025,Approved
PHP-25-014,Historical Preservation,"552 E E ST, ONTARIO CA 91764",6/23/2025,Active
PHP-25-013,Historical Preservation,"552 E E ST, ONTARIO CA 91764",6/23/2025,Active
PCUP25-014,Conditional Use Permit,"960 N HAVEN AV, SUITE 100, ONTARIO CA 91764",6/23/2025,Active
PPA25-0209,Planning Pre-Application,"1150 W FOURTH ST, ONTARIO CA 91762",6/23/2025,Resubmittal Required
PPA25-0208,Planning Pre-Application,"552 E E ST, ONTARIO CA 91764",6/21/2025,Complete
PPA25-0207,Planning Pre-Application,"552 E E ST, ONTARIO CA 91764",6/21/2025,Complete
PTUP25-035,Temporary Use Permit,"320 E D ST, ONTARIO CA 91764",6/20/2025,Approved
PVER25-024,Zoning Verification Letter,"1624 W PHILADELPHIA ST, ONTARIO CA 91762",6/19/2025,Approved
PPRE25-002,Preliminary Review,"0 S ARCHIBALD AV, ONTARIO CA 91761",6/19/2025,Active
PMTT25-007,Parcel Tract Map,"14100 S MILLIKEN AV, ONTARIO CA 91761",6/19/2025,Under Review
PDEV25-010,Development Plan,"14100 S MILLIKEN AV, ONTARIO CA 91761",6/19/2025,Under Review
PPA25-0206,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",6/19/2025,Complete
PPA25-0205,Planning Pre-Application,"0 S ARCHIBALD AV, ONTARIO CA 91761",6/19/2025,Complete
PMTT25-006,Parcel Tract Map,"0 E INLAND EMPIRE BL, ONTARIO CA 91764",6/18/2025,Under Review
PSGN25-074,Sign Permit,"2150 E MAPLE PRIVADO, ONTARIO CA 91761",6/18/2025,Approved Final
PSGN25-073,Sign Permit,"791 N MILLIKEN AV, ONTARIO CA 91764",6/18/2025,Approved Final
PDEV25-009,Development Plan,"0 E INLAND EMPIRE BL, ONTARIO CA 91764",6/18/2025,Under Review
PPA25-0204,Planning Pre-Application,"1624 W PHILADELPHIA ST, ONTARIO CA 91762",6/18/2025,Complete
PPA25-0203,Planning Pre-Application,"0 E INLAND EMPIRE BL, ONTARIO CA 91764",6/18/2025,Complete
PMISC-00009,Planning Miscellaneous,"912 W G ST, ONTARIO CA 91762",6/17/2025,App Submitted
PCUP25-013,Conditional Use Permit,"1795 E HOLT BL, SUITE 103, ONTARIO CA 91761",6/17/2025,Under Review
PPA25-0201,Planning Pre-Application,"1795 E HOLT BL, SUITE 103, ONTARIO CA 91761",6/17/2025,Complete
PPA25-0200,Planning Pre-Application,"1024 S GROVE AV, Ontario CA 91761",6/16/2025,Resubmittal Required
PPA25-0199,Planning Pre-Application,"1795 E HOLT BL, SUITE 103, ONTARIO CA 91761",6/16/2025,Resubmittal Required
PSPA25-004,Specific Plan Amendment,"7260 E EDISON AV, ONTARIO CA 91761",6/12/2025,Under Review
PSGN25-072,Sign Permit,"3110 E GUASTI RD, SUITE 560, ONTARIO CA 91761",6/12/2025,Approved Final
PSGN25-071,Sign Permit,"2505 S EUCLID AV, BLDG 1, ONTARIO CA 91761",6/12/2025,Approved Final
PSGN25-070,Sign Permit,"2458 S GROVE AV, SUITE 1-A, ONTARIO CA 91761",6/12/2025,Approved Final
PSGN25-069,Sign Permit,"3190 E SHELBY ST, BLDG C, Ontario CA 91764",6/12/2025,Approved Final
PSGN25-068,Sign Permit,"301 S ROCKEFELLER AV, ONTARIO CA 91761",6/12/2025,Approved Final
PPA25-0198,Planning Pre-Application,"2150 E MAPLE PRIVADO, ONTARIO CA 91761",6/12/2025,Complete
PPA25-0197,Planning Pre-Application,"3110 E GUASTI RD, SUITE 560, ONTARIO CA 91761",6/12/2025,Complete
PPA25-0196,Planning Pre-Application,"7260 E EDISON AV, ONTARIO CA 91761",6/12/2025,Complete
25TMP-004982,Planning Pre-Application,"1608 W PHILADELPHIA ST, ONTARIO CA 91762",6/11/2025,
PDA-25-004,Development Agreement,"14100 S MILLIKEN AV, ONTARIO CA 91761",6/11/2025,Under Review
PPA25-0195,Planning Pre-Application,"116 E SUNKIST ST, Ontario CA 91761",6/11/2025,Withdrawn
PPA25-0194,Planning Pre-Application,"4170 E ONTARIO RANCH RD, ONTARIO CA 91761",6/11/2025,Complete
PPA25-0193,Planning Pre-Application,"2938 S MILLIKEN AV, ONTARIO CA 91761",6/11/2025,Complete
PPA25-0192,Planning Pre-Application,"3190 E SHELBY ST, BLDG C, Ontario CA 91764",6/11/2025,Complete
25TMP-004915,Planning Pre-Application,,6/10/2025,
PSGN25-067,Sign Permit,"1050 N ONTARIO MILLS DR, ONTARIO CA 91764",6/10/2025,Approved Final
PSGN25-066,Sign Permit,"108 W HOLT BL, BLDG 1, ONTARIO CA 91762",6/10/2025,Active
PPA25-0191,Planning Pre-Application,"301 S ROCKEFELLER AV, ONTARIO CA 91761",6/10/2025,Complete
PPA25-0190,Planning Pre-Application,"14100 S MILLIKEN AV, ONTARIO CA 91761",6/10/2025,Complete
PPA25-0189,Planning Pre-Application,"14100 S MILLIKEN AV, ONTARIO CA 91761",6/10/2025,Complete
PPA25-0188,Planning Pre-Application,"2458 S GROVE AV, SUITE 1-A, ONTARIO CA 91761",6/10/2025,Complete
25TMP-004900,Planning Pre-Application,,6/9/2025,
25TMP-004902,Planning Pre-Application,,6/9/2025,
PSGN25-065,Sign Permit,"5490 E FRANCIS ST, ONTARIO CA 91761",6/9/2025,Approved Final
PSGN25-064,Sign Permit,"3200 E INLAND EMPIRE BL, SUITE 1-190, ONTARIO CA 91764",6/9/2025,Approved Final
PPA25-0187,Planning Pre-Application,"5056 E FOURTH ST, ONTARIO CA 91764",6/9/2025,Withdrawn
25TMP-004766,Planning Pre-Application,"5056 E FOURTH ST, Ontario CA 91764",6/6/2025,
PTUP25-034,Temporary Use Permit,"800 N ARCHIBALD AV, BLDG 1, ONTARIO CA 91764",6/6/2025,Approved
PSGN25-063,Sign Permit,"1969 S CAMPUS AV, ONTARIO CA 91761",6/6/2025,Approved Final
PPA25-0186,Planning Pre-Application,"3200 E INLAND EMPIRE BL, SUITE 1-190, ONTARIO CA 91764",6/6/2025,Complete
PPA25-0185,Planning Pre-Application,"3293 S CLOVER PL, ONTARIO CA 91761",6/6/2025,Withdrawn
PSTRP25-007,Short Term Rental License,"604 W BONNIE BRAE CT, ONTARIO CA 91762",6/6/2025,Additional Info Req'd
PPA25-0184,Planning Pre-Application,"991 S BENSON AV, ONTARIO CA 91762",6/6/2025,Withdrawn
PTUP25-033,Temporary Use Permit,"250 N TURNER AV, BLDG 1, ONTARIO CA 91743",6/5/2025,Approved
PPA25-0183,Planning Pre-Application,"960 N HAVEN AV, SUITE 100, ONTARIO CA 91764",6/5/2025,Complete
PPA25-0182,Planning Pre-Application,"177 W GEYER CT, ONTARIO CA 91762",6/4/2025,Withdrawn
PPA25-0181,Planning Pre-Application,"3211 S CENTURION PL, ONTARIO CA 91761",6/4/2025,Withdrawn
PPA25-0180,Planning Pre-Application,"250 N TURNER AV, BLDG 1, ONTARIO CA 91743",6/4/2025,Complete
PTUP25-032,Temporary Use Permit,"930 N HAVEN AV, ONTARIO CA 91764",6/3/2025,Approved
PTUP25-031,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",6/3/2025,Approved
PSGN25-062,Sign Permit,"1363 E FOURTH ST, SUITE 5-B, ONTARIO CA 91764",6/3/2025,Approved Final
PSGN25-061,Sign Permit,"4150 E CONCOURS ST, SUITE 1-100, ONTARIO CA 91764",6/3/2025,Approved Final
PPA25-0179,Planning Pre-Application,"930 N HAVEN AV, ONTARIO CA 91764",6/3/2025,Complete
PSGN25-060,Sign Permit,"110 W HOLT BL, BLDG 1, ONTARIO CA 91762",6/2/2025,Under Review
PDIF25-001,DIF Credit Agreement,,6/2/2025,Active
PPA25-0178,Planning Pre-Application,"4150 E CONCOURS ST, SUITE 1-100, ONTARIO CA 91764",6/2/2025,Complete
PTUP25-030,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",5/30/2025,Approved
PMTT25-005,Parcel Tract Map,"516 S GARFIELD AV, ONTARIO CA 91761",5/30/2025,Active
PSGN25-059,Sign Permit,"2433 S GROVE AV, BLDG 1, ONTARIO CA 91761",5/30/2025,Approved Final
PSGN25-058,Sign Permit,"2850 E INLAND EMPIRE BL, SUITE 1-C, ONTARIO CA 91764",5/30/2025,Out to Applicant
PPA25-0177,Planning Pre-Application,"5655 E ONTARIO MILLS PW, ONTARIO CA 91764",5/30/2025,Withdrawn
PPA25-0176,Planning Pre-Application,"2433 S GROVE AV, BLDG 1, ONTARIO CA 91761",5/30/2025,Complete
25TMP-004630,Planning Pre-Application,"3937 E KLAMATH RIVER DR, ONTARIO CA 91761",5/29/2025,
PZC-25-003,Zone Change,"13107 S CAMPUS AV, BLDG 1, ONTARIO CA 91761",5/29/2025,Active
PHP-25-012,Historical Preservation,"315 N VINE AV, ONTARIO CA 91762",5/29/2025,Approved Final
PSGN25-057,Sign Permit,"2509 S EUCLID AV, BLDG 1, ONTARIO CA 91761",5/29/2025,Approved Final
PGPA25-004,General Plan Amendment,"13107 S CAMPUS AV, BLDG 1, ONTARIO CA 91761",5/29/2025,Active
PPA25-0202,Planning Pre-Application,"791 N MILLIKEN AV, ONTARIO CA 91764",5/29/2025,Complete
PPA25-0175,Planning Pre-Application,"2850 E INLAND EMPIRE BL, SUITE 1-C, ONTARIO CA 91764",5/29/2025,Complete
PPA25-0174,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",5/29/2025,Complete
PPA25-0173,Planning Pre-Application,"2160 S EUCLID AV, ONTARIO CA 91762",5/29/2025,Complete
PPA25-0172,Planning Pre-Application,"1341 E 4TH ST, Ontario CA United States",5/29/2025,ACA Docs Uploaded
PPA25-0171,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",5/28/2025,Resubmittal Required
PPA25-0170,Planning Pre-Application,"2509 S EUCLID AV, BLDG 1, ONTARIO CA 91761",5/28/2025,Complete
PCUP25-012,Conditional Use Permit,"1901 E CHERRY HILL CT, ONTARIO CA 91761",5/23/2025,Under Review
PPA25-0169,Planning Pre-Application,"1901 E CHERRY HILL CT, ONTARIO CA 91761",5/22/2025,Complete
PSGP25-008,Sign Program,"5742 E ONTARIO MILLS PW, ONTARIO CA 91764",5/21/2025,Under Review
PPA25-0168,Planning Pre-Application,"3937 E KLAMATH RIVER DR, ONTARIO CA 91761",5/21/2025,Withdrawn
PPA25-0167,Planning Pre-Application,"0 E ONTARIO MILLS PW, ONTARIO CA 91764",5/20/2025,Complete
PPA25-0166,Planning Pre-Application,"421 E F ST, SUITE B, ONTARIO CA 91764",5/19/2025,Withdrawn
PPA25-0165,Planning Pre-Application,"1425 S TOYOTA WY, ONTARIO CA 91761",5/19/2025,Withdrawn
PTUP25-029,Temporary Use Permit,"2150 S ARCHIBALD AV, ONTARIO CA 91761",5/16/2025,Approved
PSPA25-003,Specific Plan Amendment,"0 E INLAND EMPIRE BL, ONTARIO CA 91764",5/16/2025,Under Review
PPA25-0164,Planning Pre-Application,"517 S BENSON AV, ONTARIO CA 91762",5/16/2025,Withdrawn
25TMP-003876,Planning Pre-Application,"119 W ARMSLEY SQ, ONTARIO CA 91762",5/14/2025,
PVER25-023,Zoning Verification Letter,"520 S OAKS AV, ONTARIO CA 91762",5/14/2025,Approved
PVER25-022,Zoning Verification Letter,"629 S BENSON AV, BLDG 1, ONTARIO CA 91762",5/14/2025,Approved
PVER25-021,Zoning Verification Letter,"519 S BENSON AV, BLDG 1, ONTARIO CA 91762",5/14/2025,Approved
PVER25-020,Zoning Verification Letter,"517 S BENSON AV, ONTARIO CA 91762",5/14/2025,Approved
PSGN25-056,Sign Permit,"4234 E ONTARIO RANCH RD, ONTARIO CA 91761",5/14/2025,Under Review
PPA25-0163,Planning Pre-Application,"315 N VINE AV, ONTARIO CA 91762",5/14/2025,Complete
PPA25-0162,Planning Pre-Application,"859 E GRANADA CT, ONTARIO CA 91764",5/14/2025,Withdrawn
PPA25-0161,Planning Pre-Application,"4234 E ONTARIO RANCH RD, ONTARIO CA 91761",5/14/2025,Complete
25TMP-003846,Planning Pre-Application,"1003 W GRANADA CT, ONTARIO CA 91762",5/13/2025,
PPA25-0160,Planning Pre-Application,"1363 E FOURTH ST, SUITE 5-B, ONTARIO CA 91764",5/13/2025,Complete
PPA25-0159,Planning Pre-Application,"337 N SACRAMENTO AV, ONTARIO CA 91764",5/13/2025,Withdrawn
PPA25-0158,Planning Pre-Application,"520 S OAKS AV, ONTARIO CA 91762",5/13/2025,Complete
PPA25-0157,Planning Pre-Application,"629 S BENSON AV, BLDG 1, ONTARIO CA 91762",5/13/2025,Complete
PPA25-0156,Planning Pre-Application,"519 S BENSON AV, BLDG 1, ONTARIO CA 91762",5/13/2025,Complete
PPA25-0155,Planning Pre-Application,"517 S BENSON AV, ONTARIO CA 91762",5/13/2025,Complete
25TMP-004127,Planning Pre-Application,,5/12/2025,
PSGN25-055,Sign Permit,"4451 E ONTARIO MILLS PW, SUITE 3-C, ONTARIO CA 91764",5/12/2025,Approved
PTUP25-028,Temporary Use Permit,"1848 S EUCLID AV, ONTARIO CA 91762",5/9/2025,Approved
PDEV25-008,Development Plan,"0 S MILLIKEN AV, ONTARIO CA 91761",5/9/2025,Out to Applicant
PPA25-0154,Planning Pre-Application,"4451 E ONTARIO MILLS PW, SUITE 3-C, ONTARIO CA 91764",5/9/2025,Complete
25TMP-004040,Short Term Rental License,"3942 S ALEXANDER AV, Ontario CA 91761",5/8/2025,
PPA25-0153,Planning Pre-Application,"1848 S EUCLID AV, ONTARIO CA 91762",5/8/2025,Complete
PSGN25-054,Sign Permit,"2200 S MOUNTAIN AV, SUITE A, ONTARIO CA 91762",5/7/2025,Approved Final
PPA25-0152,Planning Pre-Application,"315 N VINE AV, ONTARIO CA 91762",5/7/2025,Resubmittal Required
PSGP25-007,Sign Program,"3546 E CONCOURS ST, ONTARIO CA 91764",5/6/2025,Approved Final
PSGN25-053,Sign Permit,"2060 S WINEVILLE AV, SUITE 1-A, ONTARIO CA 91761",5/6/2025,Approved Final
PPA25-0151,Planning Pre-Application,"3546 E CONCOURS ST, ONTARIO CA 91764",5/6/2025,Complete
PCUP25-011,Conditional Use Permit,"315 E FOURTH ST, ONTARIO CA 91764",5/5/2025,Active
PPA25-0150,Planning Pre-Application,"2560 S ARCHIBALD AV, BLDG 1, ONTARIO CA 91761",5/3/2025,Resubmittal Required
PDEV25-007,Development Plan,"9309 E RIVERSIDE DR, ONTARIO CA 91761",5/2/2025,Under Review
